Id;OpponentId;DateTime;Serie;Result;Stadion;Home_match;Extra_time;Penalties;ResultCode;Attendance;RefereeId
6036;23;2019-08-31 17:00:00.000;Veikkausliiga;3.helmi;Elisa Stadion;0;0;0;2;1752;NULL
6037;18;2019-09-13 18:30:00.000;Veikkausliiga;3.tammi;Telia 5G Areena;1;0;0;1;1525;NULL
6038;10;2019-09-21 18:00:00.000;Veikkausliiga;2-0;Telia 5G Areena;1;0;0;1;753;NULL
6039;5;2019-09-28 14:00:00.000;Veikkausliiga;2.helmi;Lahden kisapuisto;0;0;0;0;1631;NULL
6040;23;2019-10-06 16:00:00.000;Veikkausliiga;2.maalis;Elisa Stadion;0;0;0;1;1845;NULL
6041;9;2019-10-19 15:00:00.000;Veikkausliiga;2-0;Telia 5G Areena;1;0;0;1;1540;NULL
6048;5;2019-02-02 14:00:00.000;Suomen Cup;2.tammi;Mukkulan kuplahalli;0;0;0;2;NULL;NULL
6049;3;2019-02-09 16:00:00.000;Suomen Cup;1.helmi;Talin jalkapallohalli;1;0;0;2;NULL;NULL
6050;4;2019-02-23 13:00:00.000;Suomen Cup;1.maalis;Talin jalkapallohalli;1;0;0;2;NULL;NULL
6051;6;2019-03-03 18:00:00.000;Suomen Cup;3-0;Eckeröhallen;0;0;0;2;NULL;NULL
6053;2007;2020-03-08 15:00:00.000;Friendly;0-1;Side, Turkey;1;0;0;2;NULL;NULL
6054;2006;2020-03-10 15:00:00.000;Friendly;1.helmi;Side, Turkey;1;0;0;2;NULL;NULL
8054;14;2020-06-17 18:30:00.000;Friendly;0-4;Tammisaaren Keskuskenttä;0;0;0;1;NULL;NULL
9056;6;2020-07-26 18:30:00.000;Veikkausliiga;0-3;Wiklöf Holding Arena;0;0;0;1;1000;6
9057;7;2020-08-01 17:00:00.000;Veikkausliiga;2.helmi;Tammelan Stadion;0;0;0;0;2384;10
9058;2;2020-08-05 18:30:00.000;Veikkausliiga;0-2;Tehtaan kenttä;0;0;0;1;1575;2
9059;11;2020-08-26 18:30:00.000;Veikkausliiga;1-0;Veritas Stadion;0;0;0;2;3027;2
9062;1;2020-09-10 18:30:00.000;Veikkausliiga;4.maalis;Bolt Arena;1;0;0;1;2900;1
9063;4;2020-09-14 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;1502;8
9064;6;2020-09-19 17:00:00.000;Veikkausliiga;2.helmi;Bolt Arena;1;0;0;0;1425;14
9066;10;2020-09-28 18:30:00.000;Veikkausliiga;3.helmi;OmaSp Stadion;0;0;0;2;2287;6
9067;3;2020-10-02 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;1517;7
10053;6;2020-06-24 13:50:00.000;Friendly;1.tammi;Bolt Arena;1;0;0;0;NULL;NULL
11053;4;2020-08-14 18:30:00.000;Veikkausliiga;3.helmi;Veritas Stadion;0;0;0;2;1662;6
11054;3;2020-09-01 18:30:00.000;Veikkausliiga;0-1;Tapiolan urheilupuisto;0;0;0;1;1446;5
11055;7;2020-10-15 18:30:00.000;Veikkausliiga;1.helmi;Bolt Arena;1;0;0;2;1247;15
11056;1;2020-10-18 16:00:00.000;Veikkausliiga;3-0;Bolt Arena;0;0;0;2;2840;8
12053;11;2020-08-10 18:30:00.000;Veikkausliiga;2-0;Bolt Arena;1;0;0;1;1762;3
12054;2;2020-08-23 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;1672;12
13053;1;2019-01-29 17:00:00.000;Suomen Cup;1-0;Talin jalkapallohalli;0;0;0;2;NULL;NULL
15054;17;2018-01-19 18:00:00.000;Suomen Cup;1.tammi;Talin jalkapallohalli;1;0;0;0;NULL;NULL
15055;3004;2018-02-04 13:00:00.000;Suomen Cup;1.huhti;Aviasport Areena;0;0;0;1;NULL;NULL
15056;19;2018-02-09 18:00:00.000;Suomen Cup;3.tammi;Talin jalkapallohalli;1;0;0;1;NULL;NULL
15057;3;2018-02-16 18:00:00.000;Suomen Cup;2.maalis;Talin jalkapallohalli;1;0;0;2;NULL;NULL
15058;1;2018-02-24 14:00:00.000;Suomen Cup;1-0;Talin jalkapallohalli;0;0;0;2;NULL;NULL
16054;4004;2017-01-21 12:00:00.000;Suomen Cup;2.helmi;Talin jalkapallohalli;1;0;0;0;NULL;NULL
16055;3;2017-02-04 13:00:00.000;Suomen Cup;3-0;Esport Arena;0;0;0;2;NULL;NULL
16056;17;2017-02-11 12:00:00.000;Suomen Cup;0-2;Talin jalkapallohalli;1;0;0;2;NULL;NULL
16057;19;2017-02-18 16:00:00.000;Suomen Cup;3-0;Talin jalkapallohalli;1;0;0;1;NULL;NULL
16058;1;2017-03-01 17:00:00.000;Suomen Cup;4-0;Talin jalkapallohalli;0;0;0;2;NULL;NULL
16059;6;2015-04-19 16:00:00.000;Veikkausliiga;1.tammi;Wiklöf Holding Arena;0;0;0;0;0;NULL
16060;1;2015-04-23 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;10500;NULL
16061;9;2015-04-29 18:30:00.000;Veikkausliiga;2-0;Rovaniemen keskuskenttä;0;0;0;2;0;NULL
16062;10;2015-05-03 16:00:00.000;Veikkausliiga;2-0;OmaSp Stadion;0;0;0;2;0;NULL
16063;4;2015-05-08 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;1;0;0;1;0;NULL
16064;7;2015-05-14 14:00:00.000;Veikkausliiga;1.tammi;Tammelan Stadion;0;0;0;0;0;NULL
16065;16;2015-05-17 17:00:00.000;Veikkausliiga;3.helmi;Bolt Arena;1;0;0;1;0;NULL
16066;19;2015-05-21 18:30:00.000;Veikkausliiga;1.helmi;Arto Tolsa Areena;0;0;0;1;0;NULL
16067;8;2015-05-25 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;0;NULL
16068;5;2015-06-03 18:30:00.000;Veikkausliiga;2-0;Lahden kisapuisto;0;0;0;2;0;NULL
16069;16;2015-06-07 14:00:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;0;NULL
16070;9;2015-06-16 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;0;NULL
16071;4;2015-06-22 18:30:00.000;Veikkausliiga;3.tammi;Veritas Stadion;0;0;0;2;0;NULL
16072;23;2015-06-25 18:30:00.000;Veikkausliiga;0-2;Elisa Stadion;0;0;0;1;0;NULL
16073;6;2015-06-28 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;0;NULL
16074;1;2015-07-06 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;0;0;0;0;10500;NULL
16075;10;2015-07-19 18:30:00.000;Veikkausliiga;4.tammi;OmaSp Stadion;0;0;0;2;0;NULL
16076;16;2015-07-25 16:00:00.000;Veikkausliiga;0-2;Pietarsaaren keskuskenttä;0;0;0;1;0;NULL
16077;7;2015-08-01 16:00:00.000;Veikkausliiga;2.helmi;Bolt Arena;1;0;0;0;0;NULL
16078;8;2015-08-09 16:00:00.000;Veikkausliiga;2-0;Savon Sanomat Areena;0;0;0;2;0;NULL
16079;9;2015-08-17 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;0;NULL
16080;1;2015-08-24 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;0;0;0;0;10325;NULL
16081;23;2015-08-30 18:30:00.000;Veikkausliiga;3-0;Bolt Arena;1;0;0;1;0;NULL
16082;6;2015-09-10 18:30:00.000;Veikkausliiga;1-0;Wiklöf Holding Arena;0;0;0;2;1247;NULL
16083;8;2015-09-14 18:30:00.000;Veikkausliiga;1.maalis;Bolt Arena;1;0;0;2;2111;NULL
16084;23;2015-09-17 18:30:00.000;Veikkausliiga;0-3;Bolt Arena;1;0;0;2;0;NULL
16085;5;2015-09-20 18:30:00.000;Veikkausliiga;0-5;Lahden kisapuisto;0;0;0;1;3095;NULL
16086;19;2015-09-23 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;2594;NULL
16087;10;2015-09-28 18:30:00.000;Veikkausliiga;1-0;Bolt Arena;1;0;0;1;2644;NULL
16089;5;2015-10-15 18:30:00.000;Veikkausliiga;3.maalis;Bolt Arena;1;0;0;0;3004;NULL
16090;7;2015-10-18 18:30:00.000;Veikkausliiga;1.maalis;Tammelan Stadion;0;0;0;1;0;NULL
16091;4;2015-10-25 13:00:00.000;Veikkausliiga;2-0;Bolt Arena;1;0;0;1;0;NULL
16092;4006;2016-04-09 16:00:00.000;Veikkausliiga;0-2;Myyrmäen jalkapallostasion;0;0;0;1;2471;NULL
16093;4;2016-04-14 18:30:00.000;Veikkausliiga;1.helmi;Bolt Arena;1;0;0;2;2374;NULL
16094;5;2016-04-18 18:30:00.000;Veikkausliiga;2.helmi;Lahden kisapuisto;0;0;0;0;1911;NULL
16095;4007;2016-04-25 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;2218;NULL
16096;8;2016-04-28 18:30:00.000;Veikkausliiga;3.helmi;Bolt Arena;1;0;0;1;2129;NULL
16097;23;2016-05-04 18:30:00.000;Veikkausliiga;3.tammi;Elisa Stadion;0;0;0;2;1898;NULL
16098;9;2016-05-09 18:00:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;2649;NULL
16099;10;2016-05-14 16:00:00.000;Veikkausliiga;2.tammi;OmaSp Stadion;0;0;0;2;1387;NULL
16100;6;2016-05-20 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;2511;NULL
16101;1;2016-05-26 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;0;0;0;2;10500;NULL
16102;7;2016-05-29 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;2455;NULL
16103;4006;2016-06-09 18:30:00.000;Veikkausliiga;1.helmi;Bolt Arena;1;0;0;2;2816;NULL
16104;4;2016-06-12 13:30:00.000;Veikkausliiga;1-0;Veritas Stadion;0;0;0;2;4760;NULL
16105;5;2016-06-18 13:30:00.000;Veikkausliiga;2.helmi;Bolt Arena;1;0;0;0;2405;NULL
16106;4007;2016-07-03 18:30:00.000;Veikkausliiga;1.helmi;Sauvosaaren urheilupuisto;0;0;0;1;1807;NULL
16107;8;2016-07-10 17:00:00.000;Veikkausliiga;1-0;Savon Sanomat Areena;0;0;0;2;2055;NULL
16108;23;2016-07-18 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;2918;NULL
16109;9;2016-07-24 18:30:00.000;Veikkausliiga;1-0;Rovaniemen keskuskenttä;0;0;0;2;2011;NULL
16110;10;2016-07-30 16:00:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;3313;NULL
16111;6;2016-08-07 18:30:00.000;Veikkausliiga;2.touko;Wiklöf Holding Arena;0;0;0;1;1462;NULL
16112;1;2016-08-10 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;10500;NULL
16113;7;2016-08-13 16:00:00.000;Veikkausliiga;3.tammi;Tammelan Stadion;0;0;0;2;2609;NULL
16114;6;2016-08-21 18:30:00.000;Veikkausliiga;1-0;Wiklöf Holding Arena;0;0;0;2;1205;NULL
16118;23;2016-09-09 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;2962;NULL
16119;10;2016-08-27 16:00:00.000;Veikkausliiga;3.tammi;Bolt Arena;1;0;0;1;3297;NULL
16120;4;2016-09-12 18:30:00.000;Veikkausliiga;0-0;Veritas Stadion;0;0;0;0;2197;NULL
16121;4007;2016-09-16 18:30:00.000;Veikkausliiga;3.tammi;Bolt Arena;1;0;0;1;2510;NULL
16122;4006;2016-09-20 18:30:00.000;Veikkausliiga;0-2;Myyrmäen jalkapallostasion;0;0;0;1;1230;NULL
16123;5;2016-09-26 18:30:00.000;Veikkausliiga;0-0;Lahden kisapuisto;0;0;0;0;2115;NULL
16124;1;2016-09-30 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;1;0;0;1;10171;NULL
