Id;GameId;Score;Winner;PlayerId;AssistId;Penalty;Minute
21105;19160;0-2;0;16048;NULL;0;75
21106;19160;0-3;0;15030;NULL;0;95
21107;19161;1-0;0;16048;NULL;0;52
21108;19167;1-0;1;15035;NULL;0;10
21109;19167;2-0;0;16045;NULL;0;16
21110;19175;0-1;1;16048;NULL;0;83
21111;19174;1.tammi;0;16048;NULL;0;14
21112;19174;2.tammi;1;16045;NULL;0;14
21113;19162;1-0;0;16048;NULL;0;14
21114;19162;2.tammi;0;16048;NULL;0;40
21115;19163;1.tammi;0;16045;NULL;0;44
21116;19164;1.tammi;0;15035;NULL;0;48
21117;19164;2.helmi;0;15023;NULL;0;93
21118;19165;1.tammi;0;15035;NULL;0;65
21119;19165;2.tammi;0;16048;NULL;0;94
21120;19166;0-1;0;16045;NULL;0;28
21121;19166;0-2;1;1011;NULL;0;64
21122;19166;0-3;0;16044;NULL;0;71
21123;19168;2.tammi;0;1011;NULL;0;60
21124;19170;1-0;1;1011;NULL;0;9
21125;19170;2-0;0;16048;NULL;0;29
21126;19170;3-0;0;16046;NULL;0;50
21127;19171;0-1;1;16048;NULL;0;58
21128;19171;0-2;0;1011;NULL;0;82
21129;19171;0-3;0;16045;NULL;0;93
21130;19172;0-1;1;16045;NULL;0;74
21131;19172;0-2;0;1011;NULL;0;83
21132;19173;1-0;1;1;NULL;0;21
21135;11054;0-1;1;1020;NULL;0;12
21137;9062;1-0;0;1020;11023;0;13
21138;9062;2-0;0;12023;NULL;0;18
21139;9062;3.tammi;0;2022;NULL;1;29
21140;9062;4.maalis;1;17040;2022;0;89
21141;9064;1-0;0;11024;1020;0;10
21142;9064;2-0;0;18040;1010;0;39
21143;9066;2.tammi;0;1021;NULL;0;53
21144;9066;3.helmi;0;11024;12023;0;93
21145;9067;1-0;0;1020;11024;0;37
22145;21156;3.tammi;0;1005;11023;0;90
22146;21156;3.helmi;0;11024;NULL;1;94
23145;11055;1-0;0;1020;11023;0;53
24145;22157;1-0;1;15036;1;0;48
24146;24157;1.tammi;0;1011;2022;0;80
