Id;GameId;Goal;Winner;Penalty;Minute
15041;16097;2.tammi;1;0;36
15042;16097;3.tammi;0;0;73
16034;16098;1.tammi;0;0;51
17034;16099;1-0;0;0;9
17035;16099;2.tammi;1;0;88
18034;16100;0-1;1;0;57
18035;16101;1-0;0;0;2
18036;16101;2.tammi;1;0;11
18037;16102;0-1;1;0;59
18038;16103;0-1;0;0;12
18039;16103;0-2;1;0;41
18040;16104;1-0;1;0;60
18041;16105;1.tammi;0;0;57
18042;16105;2.helmi;0;0;68
18043;16106;1.tammi;0;0;40
19034;16107;1-0;1;0;61
19035;16108;0-1;1;0;89
19036;16109;1-0;1;1;38
19037;16110;0-1;0;0;11
19038;16111;1.helmi;0;0;26
19039;16111;2.helmi;0;0;40
19040;16113;1-0;0;0;33
19041;16113;2.tammi;1;0;52
19042;16113;3.tammi;0;0;73
19043;16114;1-0;1;1;47
19045;16118;0-1;1;0;61
19044;16119;1.tammi;0;0;50
19046;16121;2.tammi;0;0;66
20034;16124;2.tammi;0;0;83
20035;16125;1.tammi;0;1;30
20036;16126;0-1;1;0;14
20037;16126;0-2;0;0;83
13;16144;0-1;1;0;3
14;16144;0-2;0;0;7
15;16144;0-3;0;0;14
16;16147;0-1;1;0;18
17;16147;0-2;0;0;30
18;16147;0-3;0;0;67
19;16148;1.tammi;0;0;79
20038;17151;0-1;0;0;46
20039;17151;1.helmi;1;0;89
20040;17152;1.helmi;0;0;68
20041;17152;2.maalis;0;0;92
20042;17152;3.maalis;0;0;94
21036;17154;1.tammi;0;0;81
21037;17154;2.tammi;1;0;88
21038;17155;0-1;0;0;16
21039;17157;0-1;1;0;26
21040;17157;0-2;0;0;79
21041;17158;1.tammi;0;0;92
21042;17159;0-1;1;0;30
21043;17160;0-1;1;0;7
21044;17160;0-2;0;0;93
21045;17161;0-1;1;0;20
21046;17161;0-2;0;0;57
21047;17163;1-0;0;0;4
21048;17163;2-0;1;0;8
21049;17163;3.tammi;0;0;46
21050;17163;4.tammi;0;0;81
22036;17165;1-0;0;0;3
22037;17165;2.helmi;0;1;85
22038;18149;0-1;0;0;21
22039;18149;0-2;1;0;23
22040;18149;0-3;0;0;56
22041;18149;1.huhti;0;0;85
22042;18150;1.tammi;0;0;61
22043;18151;1-0;1;0;19
22044;18151;2-0;0;0;44
22045;18152;1-0;1;0;3
22046;18152;2-0;0;0;20
22047;18152;3-0;0;0;45
22048;18153;0-1;0;0;25
22049;18154;1.tammi;0;0;9
22050;18154;2.helmi;0;0;68
22051;18154;3.helmi;0;0;76
22052;18154;4.helmi;1;0;84
22053;18156;1.tammi;0;0;31
22054;18156;2.tammi;1;0;51
22055;18158;1-0;0;0;55
22056;18158;2.tammi;1;0;76
22057;18159;1.tammi;0;0;58
22058;18160;1.tammi;0;0;67
22059;18160;2.helmi;0;0;76
22060;18160;3.helmi;1;0;84
22061;18161;1-0;0;0;24
22062;18163;1.tammi;0;0;28
22063;18163;2.tammi;1;0;83
22064;18163;3.tammi;0;0;88
22065;18163;4.tammi;0;0;90
22066;18164;0-1;0;0;11
22067;18164;0-2;0;0;32
22068;18165;1-0;0;0;18
22069;18165;2.tammi;1;0;93
14034;20149;1-0;1;0;62
